Text,Tag,Tag - Color,Tag - Group,Tag - Board,Note - Title,Insights,Created,URL
"Yeah. And they had like, a, they, they look professionally done. Um, so other than that, but not around here I haven't seen anything like that around here",,,,,"Pet Pro Employee, Nick",,2024-11-22 18:05,https://personal-workspace-hh6j.dovetail.com/data/rAWYXDzYQYlvyHMC4RNC3#:v:h=3GNtQxKeHhb0Ov5m3QikX
"eah. So that's an app that, so, I think a lot of that happens there and then I hear it from people with pets mostly because they're coming in to ask about stuff and it just come up in conversation, you know, I was, but I think it's more people with dogs because they're the ones walking them late at night. And that's when the coyotes are coming out, they're the most likely to, I would be worried about people with little kids but they're not walking around with them. Mm. Ok. Yeah. And that's when the coyotes are coming out. So I think that's why those are the people, I mostly hear people with little dogs and big dogs too. But again, like I said, the big dogs don't seem to be getting factor you, uh, like, do you see, like, an uptake uptick in people coming in",Suggestion,#5550ff,Untitled group,Tags,"Pet Pro Employee, Nick",,2024-11-22 18:05,https://personal-workspace-hh6j.dovetail.com/data/rAWYXDzYQYlvyHMC4RNC3#:v:h=1EGSB4G5shSiJ4d2zo0xRM
"Um, but then Capitol Hill, I live in Capitol Hill now and I was walking through the arboretum, I think is what it's called. And there's signs all over there",Action,#5550ff,Untitled group,Tags,"Pet Pro Employee, Nick",,2024-11-22 18:05,https://personal-workspace-hh6j.dovetail.com/data/rAWYXDzYQYlvyHMC4RNC3#:v:h=4pQCajSzGmi5nhEAIOedSl
"So, um, that's definitely been a huge thing. I've seen coyotes up here before, like I said, it's been a while but I was walking up the hill there and they were coming up the alley, the opposite direction and there was like, three or four of them right up over here",Key insight,#5550ff,Untitled group,Tags,"Pet Pro Employee, Nick",,2024-11-22 18:05,https://personal-workspace-hh6j.dovetail.com/data/rAWYXDzYQYlvyHMC4RNC3#:v:h=4t6VpWNujxhFptBFw9XNWc
"Well, I, well, I mostly talk to people about it in the context of their pets, right, because they come in here about it. Um, and it's just people walking around at night, you know, encountering coyotes, seeing them in the distance and then a couple of people have come in and they said, oh, coyotes have sort of shadowed us, like, like walked behind us. Um, I had one person who the coyote came right up to her dog and she thought it was a dog at first. Right. But no, it turned out it was a coyote and not always aggression or anything like that. But I think it definitely depends on the size of the dog. Like they had a big dog, not the aggression, little dogs, people are concerned about that, obviously. So, you know, I talked to them about different kinds of harnesses and stuff to put on their dog. They make some with spikes on them. So that's what I tell people about, you know, and to stop, like, predatory birds and stuff. ",Negative,#5550ff,Untitled group,Tags,"Pet Pro Employee, Nick",,2024-11-22 18:05,https://personal-workspace-hh6j.dovetail.com/data/rAWYXDzYQYlvyHMC4RNC3#:v:h=5LYs5CC5zJNXQSyCaMn7fx
"So, yeah. So, just like going back to the coyote. But, so do you think that, you know, people with pets and kids, you know, so these are the people who have, like, a very real threat from coyote, right. So, like, do they, do they share it, like, how, like, what do you think they, like? How exactly. They share information. Like, is it, like, informal community channels or, like whatsapp groups or, like, maybe, but also there's next, you know, next ",Key insight,#5550ff,Untitled group,Tags,"Pet Pro Employee, Nick",,2024-11-22 18:05,https://personal-workspace-hh6j.dovetail.com/data/rAWYXDzYQYlvyHMC4RNC3#:v:h=6Qhkc314C0cWE0Qem09OWW
"Like, predatory birds. We get bald eagles around here sometimes too and they can swoop down and get little dogs and little cat, like cats and stuff. Chihuahuas. Yeah. Anything that they can pick up, they can get it. So they make some with, like, spikes that come up off the top, you know, pretty long just to deter, not, like, sharp, like, it's gonna hurt the bird, but just so they can't grab on",,,,,"Pet Pro Employee, Nick",,2024-11-22 18:05,https://personal-workspace-hh6j.dovetail.com/data/rAWYXDzYQYlvyHMC4RNC3#:v:h=74hfEWxhESLFXeT3ZJ5g1f
"Um, I've seen them up by the church up on the top of the hill too. Looking for rabbits and rats and stuff, I assume",Confusion,#5550ff,Untitled group,Tags,"Pet Pro Employee, Nick",,2024-11-22 18:05,https://personal-workspace-hh6j.dovetail.com/data/rAWYXDzYQYlvyHMC4RNC3#:v:h=79NaB2bETffMwDpvQZRnta
"I don't have anything against them or they're, they're fine. Yeah. And they, you know, again, we don't have anything, we worry about the cat a little bit",,,,,Greenlake - older man,,2024-11-23 08:23,https://personal-workspace-hh6j.dovetail.com/data/1NHBwY2u7zkqOjlCz5Wjdg#:v:h=1vUDA6NBxwzStmlqOgrrkK
"Um, the direct entrance to the patio is closed with a door",,,,,Greenlake - older man,,2024-11-23 08:23,https://personal-workspace-hh6j.dovetail.com/data/1NHBwY2u7zkqOjlCz5Wjdg#:v:h=1xIlFd161Q624WseOuPAue
"Um, as far as I know, no coyotes, um, behaving like our, in any way associated with rabies as far as I know",,,,,Greenlake - older man,,2024-11-23 08:23,https://personal-workspace-hh6j.dovetail.com/data/1NHBwY2u7zkqOjlCz5Wjdg#:v:h=3vMhd5IJJTbjddsxQsQVAL
"we haven't seen any problems with them or anything and we've not been, you threatened by them or anything like that",,,,,Greenlake - older man,,2024-11-23 08:23,https://personal-workspace-hh6j.dovetail.com/data/1NHBwY2u7zkqOjlCz5Wjdg#:v:h=4zlKKbtVkGPv4TEVy6eF8x
"We have two indoor cats. So, our cats are not threatened. But my wife, my daughter lives across the street and they have an outdoor cat, but a very tough outdoor cat",,,,,Greenlake - older man,,2024-11-23 08:23,https://personal-workspace-hh6j.dovetail.com/data/1NHBwY2u7zkqOjlCz5Wjdg#:v:h=4Wdylpgi6TQOFEwrhxSCbF
"Oh, well, you know, as I said, if, if they figure it out, they can walk around the house to get back there and then they got under the porch and got into the, yeah, into the insulation under the porch in the back room as a, you know, as a, an open deck underneath and they got in there and had babies and whatever. So then we had somebody come in and completely seal it off",,,,,Greenlake - older man,,2024-11-23 08:23,https://personal-workspace-hh6j.dovetail.com/data/1NHBwY2u7zkqOjlCz5Wjdg#:v:h=5F8khdCQuU5U49Oety8tt0
"We've seen coyotes in our neighborhood half a dozen times, maybe over the years, including my wife saw one just last week",,,,,Greenlake - older man,,2024-11-23 08:23,https://personal-workspace-hh6j.dovetail.com/data/1NHBwY2u7zkqOjlCz5Wjdg#:v:h=71W41EA0dmuVpNs9wlN805
"Good question. Um, the neighborhood does share when people visit neighborhood. I don't, my wife participates in it. You know, there's neighborhood conversations about various things and so that'll pop up occasionally about somebody seeing a coyote and then they'll usually tell other people say, watch out for the coyote, watch your cats and whatever, they'll say something like that. Um, that's about it. Um, I, I don't, I'm not a social media person and so there might be a lot of social media chatter for all. I know. II, I don't know. Um, and I haven't heard anything from anybody else other than just sort of occasional neighbors saying they saw a coyote down on such and such street, they walk right across the street there",,,,,Greenlake - older man,,2024-11-23 08:23,https://personal-workspace-hh6j.dovetail.com/data/1NHBwY2u7zkqOjlCz5Wjdg#:v:h=76x4VIcPTHYIl9uAtzy0bh
"Um I would just generally because there's, there's larger carnivores having like mountain lions and bears and coyotes in like one area like you would out in Isaa. Um It just means that there's probably going to be more chance of conflict because you have more animals, especially with like black bears that like to get into people's trash and things or houses or cars. Um So there's just like a little bit more of a risk of conflict happening there. I also think the City of Issaquah has been really proactive in like actually making these collaborations with researchers with zoos and nonprofits and things like that. Um Whereas the City of Seattle I would not say has been nearly like, I've never talked to anyone from the city except for like individual parks and recs, people who have reached out to me outside of their job. Um, so, like, I don't, I don't think the city of Seattle does anything about coyotes",Suggestion,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=mTPpAMDbL2Ji12jFDVvBw
"Um, when we see conflict rise with, like, dogs in particular, it's almost always when they're denning. So they have like, young pups around and dogs are so closely related to coyotes that they can actually interbree",Action,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=Bpj3Gy4zZ0ZnQqNOjSVay
"Yeah, I think those horses, um WDFW does have like some information on it but not, not as much as they probably could on their website. Um I know recently WDFW and Woodland Park Zoo created like these pamphlets on coyotes and living with other other carnivores um that are printed in like 11 different languages, but I actually have only seen them out in the public, like at parks only like a handful of times. Um, the parks and rec also has like, flyers that you can sometimes see around parks that are like coyotes are here. Like, don't feed them. Um, that's, yeah, I think there's also, I know I've done a few outreach events, Woodland Park Zoo and WDFW also do, like, living with carnivore talks pretty frequently. But those tend to be like out in Issaquah where you have like mountain lions and bears and coyotes and like all of the things. Um So a little bit less focused in Seattle, why would you say",Request,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=S349cL2WpWsRRhFg88Ch9
"Um, they, you know, they'll eat pretty much anything that's available to them, whether that be, you know, bunnies are one of the most common things they eat, but they also eat a lot of fruit which a lot of people don't know",Frustration,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=18Jx58m9KehIxI2fl7Rqjv
"Yeah, they've adapted quite well. Um, pretty much every green space that's in the city is occupied by a coyote family at this point",Delight,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=214Wp9wnqy4T8W4vcN8JuM
"now, that again is like I was consulted to like, basically say, like, is this information? Ok. Um, but that sign is because one individual in parks and rec and I think may be affiliated with like UD Arboretum. Um, was like, hey, this is a problem, I'm going to make a sign but like they basically did that externally to like their job, like, on their free time. Like, it's not at least from my recollection I could be recalling wrong. It wasn't like the City of Seattle needs to have these signs. So people know it wasn't, it wasn't, it wasn't like policy, it wasn't standard. Um, yeah, I like, again, like I have not ever heard anything from the city of Seattle, even though it seems like a lot of people care abou",Suggestion,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=32naHiYjw6RIfLep3vjxEg
"Um Behaviorally, there's some evidence to suggest that urban Coyotes in general hasn't been tested in Seattle specifically, but that they're a little bit more bold",Action,#5550ff,Untitled group,Tags,S UW SeattleCoyote,,2024-11-22 15:56,https://personal-workspace-hh6j.dovetail.com/data/2uyHMi7wsloIWKjlMe6Bft#:v:h=3JejPtbWyn0rOix5f8pLJV
